,latitude,longitude,description,locationName,source,reportedDate,entryBy
25,3.180111,101.65551,Mesra Terrace management sent notice that a resident tested positive for COVID-19,"Mesra Terrace, Dutamas",pic/mesra.jpeg,2020-10-03 00:00:00,Admin
26,3.166392,101.692509,An employee of Sunway tested positive after having close contact with a Covid-19 patient.,Sunway Putra Mall,https://www.facebook.com/story.php?story_fbid=2508075182630975&amp;id=498404430264737,2020-11-03 00:00:00,Admin
27,3.159203,101.695894,A Suhakam commissioner tested positive after close contact with a Covid-19 patient.,Menara TH Perdana,https://www.suhakam.org.my/press-statement-no-5-of-2020-covid-19-case-in-suhakam/,2020-11-03 00:00:00,Admin
28,3.067593,101.515252,"A Sirim employee tested positive, the agency said in a statement on March 11.",Sirim HQ,thttps://www.bernama.com/en/news.php?id=1820371,2020-11-03 00:00:00,Admin
29,3.525423,101.905595,Case 131 sought treatment at Hospital Bentong for respitory problems on Mar 8 before transferred to Hospital Tengku Ampuan Afzan the next day and tested positive on Mar 10.,Hospital Bentong,https://www.malaysiakini.com/news/514293,2020-11-03 00:00:00,Admin
30,3.110378,101.586555,"A teacher tested positive on Mar 10, after developing symptoms on Mar 4. Her family members had close contact with a Covid-19 patient.",REAL Kids Ara Damansara,https://www.chinapress.com.my/?p=1936678,2020-11-03 00:00:00,Admin
31,2.92159,101.663839,"An employee tested positive on Mar 10, after being in quaratine since Mar 4. Her husband had contact with a Covid-19 patient.",MCMC HQ,https://www.mcmc.gov.my/en/media/press-releases/media-statement-mcmc-bolsters-precautionary-measur,2020-11-03 00:00:00,Admin
32,3.153909,101.690031,An employee tested positive on Mar 8.,JKR HQ,https://twitter.com/JKRMalaysia/status/1237680354317795333,2020-11-03 00:00:00,Admin
33,3.054417,101.755363,A student tested postive on Mar 11. Examinations for the student's year have been posptoned,SMK Bandar Tun Hussein Onn 2,https://www.orientaldaily.com.my/news/nation/2020/03/12/330653,2020-11-03 00:00:00,Admin
34,3.1339769,101.6850027,A Malaysia Competitions Commission (MyCC) member has tested positive. The commissioner last frequented the MyCC office on Feb 29.,Menara SSM,https://www.malaysiakini.com/news/514486,2020-12-03 00:00:00,Admin
35,4.583442,114.074901,"Brunei's Case 1 crossed the Malaysia-Brunei land border, at the Sungai Tujuh immigration checkpoint 35 kms from Miri.",Sungai Tujuh immigration checkpoint,https://www.thestar.com.my/news/nation/2020/03/12/covid-19-bruneian-who-went-to-kl-mosque-shopping-in-miri-found-infected,2020-12-03 00:00:00,Admin
36,3.1454383,101.6425672,A non-executive Securities Commission director tested positive on Mar 12. All staff were told to work from home.,Securities Commission,https://www.freemalaysiatoday.com/category/bahasa/2020/03/13/ahli-lembaga-sc-suruhanjaya-persaingan-positif-covid-19/,13/03/2020,Admin
37,3.1747177,101.6554076,The building’s management announced in a circular that one of their residents had tested positive on 13 March,"La Grande, Mont Kiara",https://twitter.com/momomoonpee/status/1238669676416077824,13/03/2020,Admin
38,5.4191969,100.338765,"An employee at Lebuh Bishop branch in Penang, had attended a four-day tabligh missionary gathering in Masjid Sri Petaling,",UOB - Lebuh Bishop,https://www.thestar.com.my/news/nation/2020/03/14/uob-employee-in-penang-tests-positive-for-covid-19,14/03/2020,Admin
39,1.470893,110.2995207,The nation's first Covid-19-related death was recorded in Sarawak on Tuesday (March 17),Emmanuel Baptist Church,https://www.thestar.com.my/news/nation/2020/03/17/pastor-from-sarawak-is-first-covid-19-fatality-in-malaysia,14/03/2020,Admin
40,3.120904,101.65165,University confirmed that a guest speaker who gave a talk on 28 February tested positive on 6 March,Universiti Malaya,https://www.malaysiakini.com/news/514804,15/03/2020,Admin
41,2.14387,102.7256066,Universiti Tun Hussein Onn Malaysia (UTHM) today confirmed that one of its university staff has tested positive for the Covid-19 virus.,Universiti Tun Hussein Onn Malaysia (UTHM),https://www.malaymail.com/news/malaysia/2020/03/15/covid-19-johors-uthm-suspends-lessons-gatherings-after-one-university-staff/1846796,15/03/2020,Admin
42,2.2564404,111.9866993,"The MP for Sarikei, attended several political meetings in Kuala Lumpur from Feb 29",Sibu Airport,https://www.freemalaysiatoday.com/category/nation/2020/03/14/sarikei-mp-in-hospital-as-covid-19-patient/,15/03/2020,Admin
43,2.9380757,101.7745991,A patient visited the clinic was tested positive later on. Disinfection will be carry out,"Klinik Suraya, Bangi",https://www.facebook.com/photo.php?fbid=2969698189717723&amp;set=a.112472765440294&amp;type=3,15/03/2020,Admin
44,3.0138652,101.5664825,"A person found to be infected with COVID-19, after returning from a holiday in Vietnam.",Masjid Al Munawwarah,https://www.bharian.com.my/berita/nasional/2020/03/665459/masjid-ditutup-selepas-jemaah-positif-covid-19,15/03/2020,Admin
45,3.1939185,101.7347229,One of resident has been infected and sent to HKL on 15/3/2020,Villa Wangsamas,pic/wangsamas.png,16/03/2020,Admin
46,3.1525106,101.620585,Gym members has tested positive.,"Babel Gym, Menara Ken, TTDI",https://codeblue.galencentre.org/2020/03/16/ttdi-gym-member-gets-covid-19/,16/03/2020,Admin
47,2.9364912,101.4735373,"Seorang pesakit disahkan positif Covid-19 telah hadir pada 16 MAC 2020 ke Klinik Siti Taman Perwira, Sijangkang, Selangor",Klinik Siti Taman Perwira,https://www.facebook.com/kliniksititpg/photos/a.436184913411884/1069432660087103/?type=3&amp;theater,16/03/2020,Admin
